PLAYER,TEAM,DATE,MATCHUP,W/L,MINUTES,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,plus/minus,team pts,team plus/minus
Gorgui Dieng,MIN,04/10/2019,MIN @ DEN,L,34,18,8,20,40,2,4,50,0,0,0,4,7,11,2,3,0,5,5,-19,95,-4
Mike Scott,PHI,04/10/2019,PHI vs. CHI,W,22,7,3,6,50,1,1,100,0,0,0,0,7,7,1,0,1,0,1,21,125,16
Ersan Ilyasova,MIL,04/10/2019,MIL vs. OKC,L,24,4,1,5,20,0,3,0,2,3,66.7,0,8,8,0,0,0,2,3,-5,116,-11
Isaiah Hicks,NYK,04/10/2019,NYK vs. DET,L,21,11,4,7,57.1,0,0,0,3,3,100,2,3,5,1,1,2,0,3,-3,89,-26
De'Aaron Fox,SAC,04/10/2019,SAC @ POR,L,17,17,8,10,80,1,1,100,0,0,0,0,1,1,9,0,0,1,1,19,131,-5
Vince Carter,ATL,04/10/2019,ATL vs. IND,L,12,1,0,4,0,0,3,0,1,2,50,0,0,0,0,0,1,0,2,-13,134,-1
Alize Johnson,IND,04/10/2019,IND @ ATL,W,25,7,2,5,40,0,0,0,3,4,75,3,8,11,1,1,2,0,2,14,135,1
DeMar DeRozan,SAS,04/10/2019,SAS vs. DAL,W,34,19,7,15,46.7,0,1,0,5,6,83.3,1,4,5,4,3,0,2,2,21,105,11
Pat Connaughton,MIL,04/10/2019,MIL vs. OKC,L,18,12,5,10,50,2,5,40,0,0,0,3,2,5,1,1,0,2,2,-9,116,-11
Gary Harris,DEN,04/10/2019,DEN vs. MIN,W,39,14,5,11,45.5,0,3,0,4,5,80,2,1,3,1,1,1,3,2,6,99,4
Ed Davis,BKN,04/10/2019,BKN vs. MIA,W,15,6,3,5,60,0,0,0,0,0,0,3,7,10,0,0,0,0,0,10,113,19
Kelly Olynyk,MIA,04/10/2019,MIA @ BKN,L,24,9,4,8,50,0,1,0,1,1,100,1,3,4,1,0,2,3,1,-14,94,-19
Patrick Beverley,LAC,04/10/2019,LAC vs. UTA,W,21,14,5,9,55.6,4,7,57.1,0,0,0,0,6,6,6,1,0,1,4,-4,143,6
Dorian Finney-Smith,DAL,04/10/2019,DAL @ SAS,L,24,5,2,10,20,1,4,25,0,0,0,1,2,3,2,0,0,0,3,-5,94,-11
Ish Smith,DET,04/10/2019,DET @ NYK,W,19,2,1,5,20,0,1,0,0,0,0,0,1,1,4,0,0,0,1,15,115,26
Quinn Cook,GSW,04/10/2019,GSW @ MEM,L,28,10,4,12,33.3,2,4,50,0,0,0,0,4,4,3,0,0,3,5,-4,117,-15
BJ Johnson,SAC,04/10/2019,SAC @ POR,L,6,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,131,-5
Dwight Powell,DAL,04/10/2019,DAL @ SAS,L,33,7,1,3,33.3,0,0,0,5,6,83.3,4,7,11,2,0,0,0,3,-9,94,-11
