PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jevon Carter,MEM,04/10/2019,MEM vs. GSW,W,26,32,10,18,55.6,8,12,66.7,4,4,100,1,3,4,2,1,0,1,1,18
Kemba Walker,CHA,04/10/2019,CHA vs. ORL,L,40,43,16,25,64,4,9,44.4,7,7,100,0,2,2,5,0,2,2,1,0
Dennis Schroder,OKC,04/10/2019,OKC @ MIL,W,40,32,10,21,47.6,8,15,53.3,4,4,100,0,5,5,3,4,0,2,5,14
Anfernee Simons,POR,04/10/2019,POR vs. SAC,W,48,37,13,21,61.9,7,11,63.6,4,6,66.7,3,3,6,9,1,0,2,2,5
Terrence Ross,ORL,04/10/2019,ORL @ CHA,W,30,35,12,19,63.2,6,10,60,5,5,100,2,4,6,2,1,0,1,1,15
LaMarcus Aldridge,SAS,04/10/2019,SAS vs. DAL,W,36,34,15,21,71.4,0,1,0,4,5,80,5,11,16,1,1,1,2,1,19
Grayson Allen,UTA,04/10/2019,UTA @ LAC,L,41,40,11,30,36.7,5,13,38.5,13,14,92.9,2,5,7,4,1,1,3,1,-3
Kentavious Caldwell-Pope,LAL,04/09/2019,LAL vs. POR,L,44,32,11,31,35.5,5,15,33.3,5,7,71.4,0,5,5,8,1,0,2,2,-4
Dwyane Wade,MIA,04/09/2019,MIA vs. PHI,W,35,30,10,23,43.5,4,10,40,6,6,100,1,2,3,3,0,1,3,1,7
Jahlil Okafor,NOP,04/09/2019,NOP vs. GSW,L,38,30,15,24,62.5,0,1,0,0,2,0,1,6,7,1,2,0,3,2,-2
Donovan Mitchell,UTA,04/09/2019,UTA vs. DEN,W,36,46,14,26,53.8,5,8,62.5,13,16,81.3,2,5,7,4,2,0,4,4,24
Jamal Crawford,PHX,04/09/2019,PHX @ DAL,L,38,51,18,30,60,7,13,53.8,8,9,88.9,0,5,5,5,1,1,4,4,-5
James Harden,HOU,04/09/2019,HOU @ OKC,L,37,39,11,28,39.3,5,15,33.3,12,13,92.3,1,9,10,3,1,1,4,4,1
Dirk Nowitzki,DAL,04/09/2019,DAL vs. PHX,W,33,30,11,31,35.5,5,14,35.7,3,3,100,1,7,8,3,0,1,2,3,11
