PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Reggie Bullock,DET,01/02/2019,DET @ MEM,W,28,13,4,8,50.0,3,7,42.9,2,2,100.0,1,0,1,3,0,0,0,2,3
Kelly Olynyk,MIA,01/02/2019,MIA @ CLE,W,28,10,3,3,100.0,2,2,100.0,2,2,100.0,1,5,6,1,0,0,0,1,24
Luka Doncic,DAL,01/02/2019,DAL @ CHA,W,26,18,7,16,43.8,3,7,42.9,1,2,50.0,1,9,10,4,0,0,2,0,14
Semi Ojeleye,BOS,01/02/2019,BOS vs. MIN,W,18,5,2,4,50.0,1,2,50.0,0,0,-,1,2,3,1,1,0,0,1,7
Shelvin Mack,MEM,01/02/2019,MEM vs. DET,L,23,8,3,10,30.0,0,3,0.0,2,2,100.0,1,3,4,6,0,0,0,2,-3
Andrew Wiggins,MIN,01/02/2019,MIN @ BOS,L,43,31,10,18,55.6,2,5,40.0,9,12,75.0,0,2,2,3,0,0,1,3,-14
Blake Griffin,DET,01/02/2019,DET @ MEM,W,39,26,11,23,47.8,2,8,25.0,2,5,40.0,1,7,8,7,2,0,0,3,13
Jonah Bolden,PHI,01/02/2019,PHI @ PHX,W,16,4,2,3,66.7,0,1,0.0,0,0,-,1,3,4,2,0,0,0,4,-1
Maxi Kleber,DAL,01/02/2019,DAL @ CHA,W,12,8,3,3,100.0,2,2,100.0,0,0,-,0,4,4,1,1,0,2,0,9
Dillon Brooks,MEM,01/02/2019,MEM vs. DET,L,18,14,6,10,60.0,0,2,0.0,2,2,100.0,1,3,4,1,0,0,1,4,-9
Wesley Matthews,DAL,01/02/2019,DAL @ CHA,W,25,11,3,7,42.9,1,5,20.0,4,4,100.0,0,3,3,1,0,1,0,1,14
Derrick Jones Jr.,MIA,01/02/2019,MIA @ CLE,W,31,13,4,8,50.0,3,4,75.0,2,3,66.7,3,4,7,2,2,1,1,1,27
Patrick McCaw,CLE,01/02/2019,CLE vs. MIA,L,18,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,0,-8
Cameron Payne,CHI,01/02/2019,CHI vs. ORL,L,5,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,1,0
Dario Saric,MIN,01/02/2019,MIN @ BOS,L,22,7,3,7,42.9,1,2,50.0,0,0,-,0,6,6,0,0,0,0,0,-10
Jonathan Isaac,ORL,01/02/2019,ORL @ CHI,W,25,7,2,5,40.0,1,2,50.0,2,2,100.0,0,3,3,0,1,2,1,0,16
Dennis Smith Jr.,DAL,01/02/2019,DAL @ CHA,W,22,18,6,10,60.0,3,5,60.0,3,4,75.0,0,0,0,7,3,0,2,1,5
Kyle Anderson,MEM,01/02/2019,MEM vs. DET,L,31,15,7,9,77.8,0,0,-,1,2,50.0,1,4,5,1,0,1,2,2,-11
Lance Stephenson,LAL,01/02/2019,LAL vs. OKC,L,21,3,1,5,20.0,1,3,33.3,0,0,-,0,6,6,4,1,0,2,3,2
Svi Mykhailiuk,LAL,01/02/2019,LAL vs. OKC,L,7,5,2,3,66.7,0,0,-,1,2,50.0,0,1,1,0,0,0,1,0,-6
Kris Dunn,CHI,01/02/2019,CHI vs. ORL,L,28,14,6,12,50.0,1,2,50.0,1,1,100.0,0,3,3,4,3,0,2,2,-19
Wayne Selden,MEM,01/02/2019,MEM vs. DET,L,5,5,2,2,100.0,0,0,-,1,2,50.0,0,1,1,0,0,0,0,0,6
Marc Gasol,MEM,01/02/2019,MEM vs. DET,L,30,11,4,10,40.0,1,3,33.3,2,2,100.0,1,6,7,3,0,2,2,3,-20
Elfrid Payton,NOP,01/02/2019,NOP @ BKN,L,34,25,10,15,66.7,2,4,50.0,3,4,75.0,1,1,2,7,0,0,4,0,16
Cristiano Felicio,CHI,01/02/2019,CHI vs. ORL,L,7,4,2,3,66.7,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-3
Darius Miller,NOP,01/02/2019,NOP @ BKN,L,29,3,1,4,25.0,1,3,33.3,0,0,-,0,3,3,0,1,0,1,5,-10
Jerryd Bayless,MIN,01/02/2019,MIN @ BOS,L,5,0,0,1,0.0,0,1,0.0,0,2,0.0,0,1,1,1,0,0,1,0,-10
Furkan Korkmaz,PHI,01/02/2019,PHI @ PHX,W,30,10,4,9,44.4,2,7,28.6,0,0,-,0,4,4,3,1,0,3,4,20
Ryan Arcidiacono,CHI,01/02/2019,CHI vs. ORL,L,15,5,2,4,50.0,1,3,33.3,0,0,-,0,2,2,3,0,0,1,3,-13
Jon Leuer,DET,01/02/2019,DET @ MEM,W,14,2,0,1,0.0,0,1,0.0,2,2,100.0,1,4,5,0,0,0,1,1,-12
Justise Winslow,MIA,01/02/2019,MIA @ CLE,W,27,10,3,11,27.3,0,0,-,4,4,100.0,1,3,4,7,1,0,1,0,12
Terry Rozier,BOS,01/02/2019,BOS vs. MIN,W,32,16,6,10,60.0,2,5,40.0,2,2,100.0,0,3,3,5,5,1,2,0,3
Julius Randle,NOP,01/02/2019,NOP @ BKN,L,34,21,8,13,61.5,0,1,0.0,5,9,55.6,2,2,4,2,1,2,2,4,3
