Team1,T1_OR5,T1_DR5,Team2,T2_OR5,T2_DR5,Spread,TScore
ATL,110.22,117.62,IND,108.68,110.44,-1,269
ATL,110,119.68,MIL,118.16,113.78,-8,222
ATL,112.46,113.9,ORL,111.9,113.6,-36,262
ATL,110.68,113.52,PHI,110.46,114.72,8,252
ATL,111,112.52,SAS,113.02,111.18,-6,228
ATL,108.94,113.4,MIL,114.66,101.26,1,271
ATL,106.5,109.1,POR,121.96,112.64,-20,216
ATL,106.36,112.62,NOP,103.12,114.46,10,250
ATL,109.04,111.3,PHI,117.32,111.14,2,256
ATL,111.58,112.1,UTA,120.08,101.46,3,231
ATL,111.34,109.26,HOU,110.48,104.98,-16,226
ATL,114.18,111.34,ORL,107.58,105.98,-10,192
ATL,113.92,109.34,BOS,114.46,109,-9,249
ATL,111.44,110.28,MEM,109.34,98.7,21,243
ATL,109.02,111.26,NOP,106.54,108.3,12,244
ATL,111.64,111.54,BKN,107.32,108.8,-2,226
ATL,114.06,114.44,SAS,107.78,108.4,-7,215
ATL,114.32,113.4,MIA,117.14,117.5,-1,227
ATL,114.58,114.98,CHI,114.16,112.7,5,241
ATL,111.14,113.12,CHI,115.56,112.72,-7,329
ATL,109.04,112.26,MIN,117.1,112.82,8,254
ATL,108.66,113.28,HOU,112.74,112.12,-8,230
ATL,109.8,117.54,PHX,99.34,116.72,8,232
ATL,106.5,117.08,DET,118.32,106.56,-3,247
ATL,114.34,120.74,NYK,101.76,112.6,-15,197
ATL,116.86,122.6,LAL,108.62,123.04,4,230
ATL,116.56,122.64,ORL,108.26,100.62,-16,232
ATL,113.68,121.84,CHA,110.44,116.5,-9,249
ATL,117.66,121.16,TOR,114.28,109.92,-18,220
ATL,112.82,118.94,WAS,110.8,111.88,8,266
ATL,113.42,116.54,PHX,102.3,120.46,6,230
ATL,112.92,116.34,UTA,112.2,114.06,-16,240
ATL,112.18,113.28,SAC,101.1,111.34,-22,248
ATL,113.64,113.48,LAC,109.88,103.26,5,241
ATL,112.24,114.36,POR,120.5,111.22,-9,231
ATL,113.4,119.06,CHI,104.32,113.16,20,222
ATL,110.68,115.64,ORL,113.42,114.08,-19,225
ATL,109.72,113.5,BOS,110.54,112.88,-8,218
ATL,105.52,106.68,OKC,111.68,114.32,16,268
ATL,104.98,108.2,MIL,115.22,107.72,-19,247
ATL,99.22,106.3,PHI,111.3,109.58,2,244
