Team,Matchup,Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Last5_Off,Last5_Def
ATL,ATLvs.IND,04/10/19,L,48,122.9,125,-2.1,67.4,1.71,17.5,46.9,71.4,58.3,15.6,50,56,108.5,49.7,110.22,117.62
ATL,ATL@MIL,04/07/19,L,48,99.1,106.5,-7.4,62.5,2.27,17.4,18.8,76.8,45.8,10.2,48.5,49.4,108,40,110,119.68
ATL,ATL@ORL,04/05/19,L,48,102.7,134.2,-31.5,51.2,1.5,14.7,20.7,72.5,41.8,12.7,48.9,52.5,110.5,35,112.46,113.9
ATL,ATLvs.PHI,04/03/19,W,48,126.2,118.4,7.8,60.4,2.64,20.1,27.7,54.1,42.6,10.7,58.7,62.3,103,55.5,110.68,113.52
ATL,ATL@SAS,04/02/19,L,48,108.8,113.6,-4.8,60.5,2.36,18.4,22.8,82.9,48,10.8,52.1,54,102.5,46.5,111,112.52
ATL,ATLvs.MIL,03/31/19,W,53,114.3,115.4,-1.1,69.2,4,20.7,28.2,63.8,45.7,7.6,53.4,54.2,106.87,52.8,108.94,113.4
ATL,ATLvs.POR,03/29/19,L,48,98,116.8,-18.8,52.6,2,15.4,19.3,69.8,43.6,10,45.2,48.9,100.5,38.1,106.5,109.1
ATL,ATL@NOP,03/26/19,W,48,115,105.3,9.8,68.2,1.88,19.1,25.9,69.6,46,14.2,55.2,59.9,113.5,52.9,106.36,112.62
ATL,ATLvs.PHI,03/23/19,W,48,117.3,116.5,0.8,57.1,2.33,18.2,28.8,70,47.7,10.9,53.3,56,109.5,48.5,109.04,111.3
ATL,ATLvs.UTA,03/21/19,W,48,110.4,108.6,1.8,63.4,1.53,18.2,24.5,70.9,49,16,58,60.2,105.5,50.6,111.58,112.1
ATL,ATLvs.HOU,03/19/19,L,48,104,119.8,-15.8,76.9,1.58,21.3,23.9,86,53.9,18.8,55.4,57.9,101,43.5,111.34,109.26
ATL,ATL@ORL,03/17/19,L,48,85.8,95.3,-9.4,52.6,1.11,14.9,16.4,79.6,47.7,17,46.2,47.7,106,39.7,114.18,111.34
ATL,ATL@BOS,03/16/19,L,48,114.3,122.9,-8.6,62.8,1.59,17.4,38.3,64.2,50.4,16.2,50.5,54.3,105,44.7,113.92,109.34
ATL,ATLvs.MEM,03/13/19,W,48,130.7,109.9,20.8,67.3,2.92,22.3,41.5,73.1,57.1,11.9,58.7,60.5,101,58.5,111.44,110.28
ATL,ATLvs.NOP,03/10/19,W,48,123.1,112.6,10.5,62.5,3,20.4,25,83.9,55.6,9.6,57.7,60.4,103.5,55.2,109.02,111.26
ATL,ATLvs.BKN,03/09/19,L,48,102.8,105.6,-2.8,56.4,2.2,14.4,31.9,68.3,49.2,9.2,41,47,108.5,47.3,111.64,111.54
ATL,ATLvs.SAS,03/06/19,L,48,100,105.7,-5.7,58.3,1.5,15.3,21.7,81.3,48.1,13.5,46.2,50.7,104.5,44.4,114.06,114.44
ATL,ATL@MIA,03/04/19,L,48,113,112.9,0.1,65.8,1.79,17.6,32.1,71.8,48.9,14,51.1,55.4,100.5,46.8,114.32,113.4
ATL,ATL@CHI,03/03/19,W,48,118.3,114.6,3.7,71.4,2.31,20.4,28.6,72.9,50.5,12.5,59,60.7,103.5,52.9,114.58,114.98
ATL,ATLvs.CHI,03/01/19,L,68,111,117.5,-6.4,54.1,1.65,17.5,17.9,75.7,47.4,13.8,58.5,60.1,101.65,49.2,111.14,113.12
ATL,ATLvs.MIN,02/27/19,W,53,115.9,107,9,69.6,2.67,19.2,34.4,82.3,57.9,10.6,48.1,53.7,103.25,52.7,109.04,112.26
ATL,ATL@HOU,02/25/19,L,48,112.1,120.2,-8.1,53.8,1.24,16,24.4,63.5,45.4,17.2,59.4,61.6,99,46.8,108.66,113.28
ATL,ATLvs.PHX,02/23/19,W,48,114.3,107.7,6.6,57.9,1.57,15.1,33.3,79.2,55.5,13.3,47.8,55.2,104.5,53.2,109.8,117.54
ATL,ATLvs.DET,02/22/19,L,48,119.6,122.5,-2.9,48.8,1.17,15.6,27.1,71.7,50.5,17.6,60.2,63.3,102,48.6,106.5,117.08
ATL,ATLvs.NYK,02/14/19,L,48,93.8,108.2,-14.3,57.6,1.58,14.5,25,67.3,44,12.4,41.8,45.8,97.5,37.4,114.34,120.74
ATL,ATLvs.LAL,02/12/19,W,48,105.4,102.7,2.7,72.5,1.38,19,27.8,77.6,53.6,18.9,52.2,56.6,110.5,53.2,116.86,122.6
ATL,ATLvs.ORL,02/10/19,L,48,110.2,125.3,-15,73,2.45,20.8,11.4,66.7,40.2,11.2,54.4,59.3,98.5,43.1,116.56,122.64
ATL,ATLvs.CHA,02/09/19,L,48,120,129,-9,56.5,1.44,18.4,34.1,69,51.2,18,61.6,63.6,100,45,113.68,121.84
ATL,ATLvs.TOR,02/07/19,L,48,103.1,120.2,-17.1,69.4,1.47,18.8,19.2,72,45.1,17.3,55,55.5,98.5,38.9,117.66,121.16
